Check NPs,Check V,raw_order,condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Target,Continuation,Target.Freq,Target.Prob,Nresponses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-,-,41,1,short.high,1,1,11,short,high,g,11,a,The nanny,knew,which,housekeeper,the,billionaire,,had,hired,for the job.,9,0.3,30,been paying extra for shining his shoes,seduced,hired,make his breakfast,liked,abused,hired,hired to oversee the staff,hired,bought off,hired,cleaning,worked for,hired,fired,paid,preferred ,slept with,stolen the jewlery,slept with,hired,paid,paid,willed his fortune to,hired,hired,fired,fired,Married,hired,#REF!,#REF!
-,-,42,2,short.low,1,2,11,short,low,b,11,b,The nanny,knew,which,billionaire,the,housekeeper,,had,hired,for the job.,0,0,30,been seeing,embezzled,slept with,worked for,worked for,given favors to,swindled,been having an affair with,worked for,slept with,robbed,worked for,cleaned for,worked for,provided service for yearly,cleaned,worked for,worked for,suspected of infidelity,contacted,worked for,gone on vacation with,worked for,conned,been longing to work for,gossiped about,cheated,loved,robbed,known,#REF!,#REF!
-,-,43,3,long.high,1,4,11,long,high,g,11,a,The nanny,knew,which,housekeeper,the,billionaire,with young children,had,hired,for the job.,16,0.516129032,31,a problem with,died,fired,fired,helped,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,kept,kissed,loved,paid,recommended,replaced,seen,slept with,slept with,trusted,#REF!
-,-,44,4,long.low,1,3,11,long,low,b,11,b,The nanny,knew,which,billionaire,the,housekeeper,with young children,had,hired,for the job.,0,0,31,an affair with,been employed by,been hired by,befriended ,come,done,hiding,kissed,mentioned,quit,seen,seen,set her sights on,shacked up with,slept with,slept with,slept with,stolen,wanted,watched,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked under,#REF!
-,-,45,1,short.high,2,4,12,short,high,g,11,b,The nanny,knew,which,billionaire,the,housekeeper,,had,worked,for since the spring.,9,0.3,30,been seeing,embezzled,slept with,worked for,worked for,given favors to,swindled,been having an affair with,worked for,slept with,robbed,worked for,cleaned for,worked for,provided service for yearly,cleaned,worked for,worked for,suspected of infidelity,contacted,worked for,gone on vacation with,worked for,conned,been longing to work for,gossiped about,cheated,loved,robbed,known,#REF!,#REF!
-,-,46,2,short.low,2,3,12,short,low,b,11,a,The nanny,knew,which,housekeeper,the,billionaire,,had,worked,for since the spring.,1,0.033333333,30,been paying extra for shining his shoes,seduced,hired,make his breakfast,liked,abused,hired,hired to oversee the staff,hired,bought off,hired,cleaning,worked for,hired,fired,paid,preferred ,slept with,stolen the jewlery,slept with,hired,paid,paid,willed his fortune to,hired,hired,fired,fired,Married,hired,#REF!,#REF!
-,-,47,3,long.high,2,1,12,long,high,g,11,b,The nanny,knew,which,billionaire,the,housekeeper,with young children,had,worked,for since the spring.,10,0.322580645,31,an affair with,been employed by,been hired by,befriended ,come,done,hiding,kissed,mentioned,quit,seen,seen,set her sights on,shacked up with,slept with,slept with,slept with,stolen,wanted,watched,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked for,worked under,#REF!
-,-,48,4,long.low,2,2,12,long,low,b,11,a,The nanny,knew,which,housekeeper,the,billionaire,with young children,had,worked,for since the spring.,0,0,31,a problem with,died,fired,fired,helped,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,kept,kissed,loved,paid,recommended,replaced,seen,slept with,slept with,trusted,#REF!
-,-,49,1,short.high,3,2,13,short,high,g,12,a,The researcher,learned,which,whale,the,biologist,,had,studied,in the wild.,10,0.333333333,30,been studying,encountered,captured,studied,studied,followed,studied,been studying for 5 years,been studying,tagged,researched,been investigating,researched,watched,discovered,studied,studied,tagged,joined the activists,studied,observed,studied,already tagged,tagged,based his theory around,studied,tagged,studied,inseminated,studied,#REF!,#REF!
-,-,50,2,short.low,3,1,13,short,low,b,12,b,The researcher,learned,which,biologist,the,whale,,had,studied,in the wild.,0,0,30,bonded with during the encounter,eaten,thanked,been tagged by,followed,killed,splashed,attacked in the ocean,encountered,eaten,stimulated,been seen by,attacked,injured,licked,eaten,befriended,been studied by,eaten,killed,swallowed,avoided,eaten,been studied by,belonged to,tracked,seen,been tagged by,Bit,been tagged by,#REF!,#REF!
-,-,51,3,long.high,3,3,13,long,high,g,12,a,The researcher,learned,which,whale,the,biologist,in the documentary,had,studied,in the wild.,7,0.225806452,31,autopsied,been following,examined,filmed,filmed,filmed,followed,harpooned,investigated ,kept an eye on,killed,marked,observed,observed,pictured,revealed,seen,seen,shown pictures of,studied,studied,studied,studied,studied,studied,studied,tagged,tagged,tagged,talked about,talked about,#REF!
-,-,52,4,long.low,3,4,13,long,low,b,12,b,The researcher,learned,which,biologist,the,whale,in the documentary,had,studied,in the wild.,0,0,31,a connection with,attacked,attacked,attacked,attacked,attacked,attacked,been studied,been studied by,befriended,befriended,belonged to,eaten,eaten,encountered,encountered,filmed,followed,grown close to,grown close to,inspired,killed,looked at,seen,splashed,sprayed with water,swallowed,swallowed,swallowed,swam past,swam with,#REF!
