"","id","condcode","item","sentencetype","predictability","ROI","laterality","anteriority","window","amplitude","target","target.cloze","target.len","target.lg10WF"
"1776","5_145","5","145","ellen","high","7","left","posterior","t300_500",3.57685525,"game",0.82,4,4.08
"1796","5_145","5","145","ellen","high","9","right","posterior","t300_500",4.02486875,"game",0.82,4,4.08
"1841","5_146","5","146","ellen","high","8","midline","posterior","t300_500",2.88930545454545,"gas",0.75,3,3.54
"1859","5_146","5","146","ellen","high","7","left","posterior","t300_500",2.91509818181818,"gas",0.75,3,3.54
"1871","5_146","5","146","ellen","high","9","right","posterior","t300_500",2.73139,"gas",0.75,3,3.54
"1873","5_147","5","147","ellen","high","8","midline","posterior","t300_500",-1.0351075,"ground",0.74,6,3.57
"1932","5_147","5","147","ellen","high","7","left","posterior","t300_500",-0.473136045,"ground",0.74,6,3.57
"1941","5_147","5","147","ellen","high","9","right","posterior","t300_500",-1.487004,"ground",0.74,6,3.57
"1987","5_148","5","148","ellen","high","7","left","posterior","t300_500",4.49872555555556,"hammer",1,6,2.8
"1998","5_148","5","148","ellen","high","9","right","posterior","t300_500",3.86873555555556,"hammer",1,6,2.8
"2005","5_148","5","148","ellen","high","8","midline","posterior","t300_500",4.37869555555555,"hammer",1,6,2.8
"2041","5_149","5","149","ellen","high","7","left","posterior","t300_500",5.69752375,"hen",0.75,3,2.21
"2054","5_149","5","149","ellen","high","9","right","posterior","t300_500",4.9523625,"hen",0.75,3,2.21
"2082","5_149","5","149","ellen","high","8","midline","posterior","t300_500",4.79094375,"hen",0.75,3,2.21
"2099","5_150","5","150","ellen","high","9","right","posterior","t300_500",1.00392833333333,"holster",0.75,7,2.05
"2127","5_150","5","150","ellen","high","8","midline","posterior","t300_500",0.0940237499999999,"holster",0.75,7,2.05
"2155","5_150","5","150","ellen","high","7","left","posterior","t300_500",0.802008666666667,"holster",0.75,7,2.05
"2190","5_151","5","151","ellen","high","8","midline","posterior","t300_500",1.1045,"word",0.98,4,4.08
"2206","5_151","5","151","ellen","high","7","left","posterior","t300_500",1.55249944444444,"word",0.98,4,4.08
"2227","5_151","5","151","ellen","high","9","right","posterior","t300_500",0.305067222222222,"word",0.98,4,4.08
"2240","5_152","5","152","ellen","high","8","midline","posterior","t300_500",-1.37874454545455,"leash",0.89,5,2.34
"2296","5_152","5","152","ellen","high","9","right","posterior","t300_500",-0.817099090909091,"leash",0.89,5,2.34
"2304","5_152","5","152","ellen","high","7","left","posterior","t300_500",-1.01923181818182,"leash",0.89,5,2.34
"2322","5_153","5","153","ellen","high","8","midline","posterior","t300_500",2.23508041666667,"lemon",0.7,5,2.79
"2354","5_153","5","153","ellen","high","9","right","posterior","t300_500",1.639085,"lemon",0.7,5,2.79
"2357","5_153","5","153","ellen","high","7","left","posterior","t300_500",4.11704125,"lemon",0.7,5,2.79
"2416","5_154","5","154","ellen","high","8","midline","posterior","t300_500",2.2248625,"lessons",0.75,7,2.89
"2422","5_154","5","154","ellen","high","9","right","posterior","t300_500",2.5684625,"lessons",0.75,7,2.89
"2425","5_154","5","154","ellen","high","7","left","posterior","t300_500",1.434640625,"lessons",0.75,7,2.89
"2458","5_155","5","155","ellen","high","9","right","posterior","t300_500",1.52664472727273,"list",0.85,4,3.61
"2508","5_155","5","155","ellen","high","8","midline","posterior","t300_500",1.84858772727273,"list",0.85,4,3.61
"2514","5_155","5","155","ellen","high","7","left","posterior","t300_500",1.56975745454545,"list",0.85,4,3.61
"2533","5_156","5","156","ellen","high","9","right","posterior","t300_500",3.12588928571429,"loaf",0.75,4,2.36
"2555","5_156","5","156","ellen","high","8","midline","posterior","t300_500",4.20457142857143,"loaf",0.75,4,2.36
"2582","5_156","5","156","ellen","high","7","left","posterior","t300_500",3.138394,"loaf",0.75,4,2.36
"2622","5_157","5","157","ellen","high","8","midline","posterior","t300_500",2.3211695,"luck",0.94,4,3.89
"2645","5_157","5","157","ellen","high","7","left","posterior","t300_500",2.6508865,"luck",0.94,4,3.89
"2655","5_157","5","157","ellen","high","9","right","posterior","t300_500",1.635758,"luck",0.94,4,3.89
"2709","5_158","5","158","ellen","high","9","right","posterior","t300_500",0.00203856250000012,"machine",0.75,7,3.55
"2713","5_158","5","158","ellen","high","7","left","posterior","t300_500",0.530739375,"machine",0.75,7,3.55
"2734","5_158","5","158","ellen","high","8","midline","posterior","t300_500",-0.157275000000001,"machine",0.75,7,3.55
"2777","5_159","5","159","ellen","high","9","right","posterior","t300_500",2.689014,"map",0.7,3,3.21
"2796","5_159","5","159","ellen","high","8","midline","posterior","t300_500",2.6282124,"map",0.7,3,3.21
"2803","5_159","5","159","ellen","high","7","left","posterior","t300_500",1.90405505,"map",0.7,3,3.21
"2833","5_160","5","160","ellen","high","9","right","posterior","t300_500",1.01157181818182,"meal",0.88,4,3.17
"2855","5_160","5","160","ellen","high","8","midline","posterior","t300_500",0.626579090909091,"meal",0.88,4,3.17
"2858","5_160","5","160","ellen","high","7","left","posterior","t300_500",0.674781409090909,"meal",0.88,4,3.17
"2895","5_161","5","161","ellen","high","9","right","posterior","t300_500",0.954681818181818,"muscles",0.75,7,2.59
"2910","5_161","5","161","ellen","high","8","midline","posterior","t300_500",1.48448954545455,"muscles",0.75,7,2.59
"2936","5_161","5","161","ellen","high","7","left","posterior","t300_500",1.33628272727273,"muscles",0.75,7,2.59
"3010","5_162","5","162","ellen","high","8","midline","posterior","t300_500",-2.0280975,"paint",0.75,5,3.27
"3015","5_162","5","162","ellen","high","9","right","posterior","t300_500",-0.812686666666667,"paint",0.75,5,3.27
"3024","5_162","5","162","ellen","high","7","left","posterior","t300_500",-1.76882291666667,"paint",0.75,5,3.27
"3075","5_163","5","163","ellen","high","8","midline","posterior","t300_500",-0.0241186666666668,"paper",0.75,5,3.72
"3079","5_163","5","163","ellen","high","9","right","posterior","t300_500",-0.328526666666667,"paper",0.75,5,3.72
"3092","5_163","5","163","ellen","high","7","left","posterior","t300_500",-0.0664733333333334,"paper",0.75,5,3.72
"3134","5_164","5","164","ellen","high","9","right","posterior","t300_500",-3.156705,"party",0.75,5,4.08
"3152","5_164","5","164","ellen","high","8","midline","posterior","t300_500",-4.30179681818182,"party",0.75,5,4.08
"3167","5_164","5","164","ellen","high","7","left","posterior","t300_500",-3.38007727272727,"party",0.75,5,4.08
"3180","5_165","5","165","ellen","high","8","midline","posterior","t300_500",-2.53237763636364,"pill",0.75,4,2.78
"3196","5_165","5","165","ellen","high","7","left","posterior","t300_500",-3.27648636363636,"pill",0.75,4,2.78
"3235","5_165","5","165","ellen","high","9","right","posterior","t300_500",-1.62769636363636,"pill",0.75,4,2.78
"3253","5_166","5","166","ellen","high","8","midline","posterior","t300_500",-0.0715916666666664,"race",0.75,4,3.5
"3286","5_166","5","166","ellen","high","7","left","posterior","t300_500",1.67196458333333,"race",0.75,4,3.5
"3299","5_166","5","166","ellen","high","9","right","posterior","t300_500",-0.0309874999999998,"race",0.75,4,3.5
"3325","5_167","5","167","ellen","high","8","midline","posterior","t300_500",2.34652409090909,"river",0.89,5,3.45
"3378","5_167","5","167","ellen","high","7","left","posterior","t300_500",2.93749136363636,"river",0.89,5,3.45
"3382","5_167","5","167","ellen","high","9","right","posterior","t300_500",2.47658454545455,"river",0.89,5,3.45
"3434","5_168","5","168","ellen","high","9","right","posterior","t300_500",8.07096316666667,"roof",0.75,4,3.26
"3437","5_168","5","168","ellen","high","7","left","posterior","t300_500",8.76418333333333,"roof",0.75,4,3.26
"3442","5_168","5","168","ellen","high","8","midline","posterior","t300_500",8.40001944444444,"roof",0.75,4,3.26
"3458","5_169","5","169","ellen","high","7","left","posterior","t300_500",0.52244375,"room",0.78,4,4.35
"3497","5_169","5","169","ellen","high","8","midline","posterior","t300_500",0.114705791666667,"room",0.78,4,4.35
"3516","5_169","5","169","ellen","high","9","right","posterior","t300_500",-0.630304166666666,"room",0.78,4,4.35
"3559","5_170","5","170","ellen","high","7","left","posterior","t300_500",0.00694450000000015,"sandwich",0.75,8,3.05
"3590","5_170","5","170","ellen","high","9","right","posterior","t300_500",0.6303495,"sandwich",0.75,8,3.05
"3593","5_170","5","170","ellen","high","8","midline","posterior","t300_500",-1.216613,"sandwich",0.75,8,3.05
"3614","5_171","5","171","ellen","high","7","left","posterior","t300_500",-2.43330241666667,"scale",0.75,5,2.69
"3650","5_171","5","171","ellen","high","9","right","posterior","t300_500",-2.3966975,"scale",0.75,5,2.69
"3658","5_171","5","171","ellen","high","8","midline","posterior","t300_500",-2.85661,"scale",0.75,5,2.69
"3674","5_172","5","172","ellen","high","7","left","posterior","t300_500",-3.3249925,"school",0.83,6,4.23
"3694","5_172","5","172","ellen","high","8","midline","posterior","t300_500",-2.98558358333333,"school",0.83,6,4.23
"3741","5_172","5","172","ellen","high","9","right","posterior","t300_500",-1.16275458333333,"school",0.83,6,4.23
"3779","5_173","5","173","ellen","high","7","left","posterior","t300_500",3.86864363636364,"scissors",1,8,2.53
"3800","5_173","5","173","ellen","high","8","midline","posterior","t300_500",3.83570636363636,"scissors",1,8,2.53
"3807","5_173","5","173","ellen","high","9","right","posterior","t300_500",1.81607522727273,"scissors",1,8,2.53
"3828","5_174","5","174","ellen","high","7","left","posterior","t300_500",5.79893333333333,"shade",0.82,5,2.48
"3855","5_174","5","174","ellen","high","8","midline","posterior","t300_500",7.44146305555556,"shade",0.82,5,2.48
"3874","5_174","5","174","ellen","high","9","right","posterior","t300_500",6.50351722222222,"shade",0.82,5,2.48
"3907","5_175","5","175","ellen","high","7","left","posterior","t300_500",1.2615795,"shore",0.74,5,3.01
"3936","5_175","5","175","ellen","high","8","midline","posterior","t300_500",0.440449,"shore",0.74,5,3.01
"3960","5_175","5","175","ellen","high","9","right","posterior","t300_500",-0.1399775,"shore",0.74,5,3.01
"3964","5_176","5","176","ellen","high","7","left","posterior","t300_500",-4.44397277777778,"soil",0.71,4,2.6
"4004","5_176","5","176","ellen","high","8","midline","posterior","t300_500",-6.67365,"soil",0.71,4,2.6
"4011","5_176","5","176","ellen","high","9","right","posterior","t300_500",-5.51941722222222,"soil",0.71,4,2.6
"4044","5_177","5","177","ellen","high","7","left","posterior","t300_500",6.50059,"star",1,4,3.62
"4060","5_177","5","177","ellen","high","8","midline","posterior","t300_500",6.64564,"star",1,4,3.62
"4080","5_177","5","177","ellen","high","9","right","posterior","t300_500",5.934057,"star",1,4,3.62
"4122","5_178","5","178","ellen","high","7","left","posterior","t300_500",0.0935944444444443,"tea",0.94,3,3.48
"4140","5_178","5","178","ellen","high","8","midline","posterior","t300_500",-0.477804444444445,"tea",0.94,3,3.48
"4161","5_178","5","178","ellen","high","9","right","posterior","t300_500",0.405892777777778,"tea",0.94,3,3.48
"4182","5_179","5","179","ellen","high","8","midline","posterior","t300_500",2.06207727272727,"time",0.72,4,5
"4203","5_179","5","179","ellen","high","7","left","posterior","t300_500",0.879688636363636,"time",0.72,4,5
"4230","5_179","5","179","ellen","high","9","right","posterior","t300_500",2.92708181818182,"time",0.72,4,5
"4295","5_180","5","180","ellen","high","7","left","posterior","t300_500",4.00384055555556,"weeds",0.75,5,2.09
"4310","5_180","5","180","ellen","high","8","midline","posterior","t300_500",1.2209,"weeds",0.75,5,2.09
"4313","5_180","5","180","ellen","high","9","right","posterior","t300_500",-0.424856666666666,"weeds",0.75,5,2.09
"4331","7_181","7","181","merp","high","7","left","posterior","t300_500",1.28013136363636,"noise",0.395,5,3.25
"4354","7_181","7","181","merp","high","9","right","posterior","t300_500",-0.929751363636364,"noise",0.395,5,3.25
"4368","7_181","7","181","merp","high","8","midline","posterior","t300_500",0.361784090909091,"noise",0.395,5,3.25
"4422","7_182","7","182","merp","high","7","left","posterior","t300_500",4.15092394444444,"novel",0.377,5,2.71
"4456","7_182","7","182","merp","high","8","midline","posterior","t300_500",4.36311555555556,"novel",0.377,5,2.71
"4460","7_182","7","182","merp","high","9","right","posterior","t300_500",4.96916166666667,"novel",0.377,5,2.71
"4481","7_183","7","183","merp","high","7","left","posterior","t300_500",2.3799341,"toy",0.377,3,2.93
"4509","7_183","7","183","merp","high","8","midline","posterior","t300_500",3.6075595,"toy",0.377,3,2.93
"4528","7_183","7","183","merp","high","9","right","posterior","t300_500",3.7553,"toy",0.377,3,2.93
"4559","7_184","7","184","merp","high","7","left","posterior","t300_500",6.27328545454545,"flowers",0.368,7,3.39
"4563","7_184","7","184","merp","high","8","midline","posterior","t300_500",6.40500318181818,"flowers",0.368,7,3.39
